	"Gulkana Glacier AAD, km^2, 100 m bins 1200- 2400"													
														
	1150	1250	1350	1450	1550	1650	1750	1850	1950	2050	2150	2250	2350	2450
2008	0.0000	0.3764	0.7416	1.1208	0.9868	1.4399	1.8277	2.5527	2.8976	2.1134	1.4439	0.9885	0.2987	0.0000
2009	0.0000	0.3748	0.7307	1.1036	0.9840	1.4302	1.8255	2.5377	2.8883	2.1145	1.4429	0.9893	0.2995	0.0000
2010	0.0000	0.3733	0.7198	1.0865	0.9812	1.4205	1.8233	2.5228	2.8790	2.1155	1.4419	0.9901	0.3003	0.0000
2011	0.0000	0.3718	0.7089	1.0693	0.9784	1.4108	1.8212	2.5078	2.8697	2.1166	1.4409	0.9909	0.3011	0.0000
2012	0.0000	0.3703	0.6980	1.0522	0.9756	1.4011	1.8190	2.4929	2.8604	2.1176	1.4399	0.9916	0.3019	0.0000
2013	0.0000	0.3687	0.6871	1.0351	0.9728	1.3914	1.8169	2.4779	2.8511	2.1187	1.4389	0.9924	0.3027	0.0000
2014	0.0000	0.3672	0.6762	1.0179	0.9700	1.3817	1.8147	2.4630	2.8418	2.1197	1.4379	0.9932	0.3035	0.0000
2015	0.0000	0.3657	0.6652	1.0008	0.9672	1.3720	1.8125	2.4480	2.8325	2.1208	1.4368	0.9939	0.3043	0.0000
2016	0.0000	0.3642	0.6543	0.9836	0.9644	1.3623	1.8104	2.4330	2.8232	2.1218	1.4358	0.9947	0.3051	0.0000
2017	0.0000	0.3626	0.6434	0.9665	0.9617	1.3526	1.8082	2.4181	2.8139	2.1229	1.4348	0.9955	0.3059	0.0000
2018	0.0000	0.3611	0.6325	0.9494	0.9589	1.3429	1.8061	2.4031	2.8046	2.1239	1.4338	0.9963	0.3066	0.0000
2019	0.0000	0.3596	0.6216	0.9322	0.9561	1.3332	1.8039	2.3882	2.7953	2.1250	1.4328	0.9970	0.3074	0.0000
2020	0.0000	0.3581	0.6107	0.9151	0.9533	1.3235	1.8017	2.3732	2.7860	2.1260	1.4318	0.9978	0.3082	0.0000
